#time 	 prey_t	predator1_t	predator2_t
1.420000 1.091505 1.790373 1.790373
1.425000 1.089943 1.790454 1.790454
1.430000 1.088385 1.790534 1.790534
1.435000 1.086829 1.790612 1.790612
1.440000 1.085276 1.790689 1.790689
1.445000 1.083727 1.790765 1.790765
1.450000 1.082181 1.790839 1.790839
1.455000 1.080638 1.790912 1.790912
1.460000 1.079097 1.790984 1.790984
1.465000 1.077560 1.791054 1.791054
1.470000 1.076027 1.791123 1.791123
1.475000 1.074496 1.791190 1.791190
1.480000 1.072968 1.791256 1.791256
1.485000 1.071443 1.791321 1.791321
1.490000 1.069922 1.791384 1.791384
1.495000 1.068403 1.791446 1.791446
1.500000 1.066888 1.791507 1.791507
1.505000 1.065375 1.791566 1.791566
1.510000 1.063866 1.791624 1.791624
1.515000 1.062359 1.791680 1.791680
1.520000 1.060856 1.791736 1.791736
1.525000 1.059355 1.791789 1.791789
1.530000 1.057858 1.791842 1.791842
1.535000 1.056364 1.791893 1.791893
1.540000 1.054872 1.791943 1.791943
1.545000 1.053384 1.791991 1.791991
1.550000 1.051898 1.792039 1.792039
1.555000 1.050416 1.792084 1.792084
1.560000 1.048936 1.792129 1.792129
1.565000 1.047459 1.792172 1.792172
1.570000 1.045986 1.792214 1.792214
1.575000 1.044515 1.792255 1.792255
1.580000 1.043047 1.792294 1.792294
1.585000 1.041582 1.792332 1.792332
1.590000 1.040120 1.792368 1.792368
1.595000 1.038661 1.792404 1.792404
1.600000 1.037205 1.792438 1.792438
1.605000 1.035752 1.792470 1.792470
1.610000 1.034301 1.792502 1.792502
1.615000 1.032854 1.792532 1.792532
1.620000 1.031409 1.792561 1.792561
1.625000 1.029967 1.792588 1.792588
1.630000 1.028528 1.792614 1.792614
1.635000 1.027092 1.792639 1.792639
1.640000 1.025659 1.792663 1.792663
1.645000 1.024229 1.792685 1.792685
1.650000 1.022801 1.792706 1.792706
1.655000 1.021376 1.792726 1.792726
1.660000 1.019954 1.792745 1.792745
1.665000 1.018535 1.792762 1.792762
1.670000 1.017119 1.792778 1.792778
1.675000 1.015705 1.792793 1.792793
1.680000 1.014295 1.792806 1.792806
1.685000 1.012887 1.792818 1.792818
1.690000 1.011482 1.792829 1.792829
1.695000 1.010079 1.792839 1.792839
1.700000 1.008680 1.792847 1.792847
1.705000 1.007283 1.792854 1.792854
1.710000 1.005889 1.792860 1.792860
1.715000 1.004497 1.792865 1.792865
1.720000 1.003109 1.792868 1.792868
1.725000 1.001723 1.792870 1.792870
1.730000 1.000340 1.792871 1.792871
1.735000 0.998959 1.792871 1.792871
1.740000 0.997582 1.792869 1.792869
1.745000 0.996207 1.792867 1.792867
1.750000 0.994834 1.792863 1.792863
1.755000 0.993465 1.792857 1.792857
1.760000 0.992098 1.792851 1.792851
1.765000 0.990734 1.792843 1.792843
1.770000 0.989372 1.792834 1.792834
1.775000 0.988013 1.792824 1.792824
1.780000 0.986657 1.792813 1.792813
1.785000 0.985304 1.792800 1.792800
1.790000 0.983953 1.792787 1.792787
1.795000 0.982604 1.792772 1.792772
1.800000 0.981259 1.792755 1.792755
1.805000 0.979916 1.792738 1.792738
1.810000 0.978575 1.792719 1.792719
1.815000 0.977238 1.792700 1.792700
1.820000 0.975903 1.792679 1.792679
1.825000 0.974570 1.792656 1.792656
1.830000 0.973240 1.792633 1.792633
1.835000 0.971913 1.792608 1.792608
1.840000 0.970588 1.792583 1.792583
1.845000 0.969266 1.792556 1.792556
1.850000 0.967947 1.792528 1.792528
1.855000 0.966630 1.792498 1.792498
1.860000 0.965315 1.792468 1.792468
1.865000 0.964003 1.792436 1.792436
1.870000 0.962694 1.792403 1.792403
1.875000 0.961387 1.792369 1.792369
1.880000 0.960083 1.792334 1.792334
1.885000 0.958782 1.792298 1.792298
